,Number Older Adult Homeless,Older Adult Percent,Emerging Adult Singles,Percent of Emerging Adult Singles ,Families with Dependent children,Precent Families with Dependent Children
   All positive,14,31.10%,7,18.40%,13,24.50%
   Building/Unit is unsafe,3,6.70%,1,2.60%,5,9.40%
   Landlord is not responsive,5,11.10%,5,13.20%,13,24.50%
   Pest Problem (Rodents Bugs),3,6.70%,8,21.10%,4,7.50%
"   Bad Neighbors (not respectful, welcoming, etc.)",4,8.90%,3,7.90%,6,11.30%
   Feels unwelcome in building/unit due to race,1,2.20%,1,2.60%,3,5.70%
"   Building/Unit is not well cared for (maintenance issues, upkeep)",14,31.10%,18,47.40%,15,28.30%
"   Building/Unit does not have amenities they value (laundry, appliances, parking)",10,22.20%,6,15.80%,5,9.40%
   poor Floor/layout/space,6,13.30%,5,13.20%,12,22.60%
   Building/Unit not accessible for disability,2,4.40%,1,2.60%,1,1.90%
